Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
1/01/2017 1:00;14,2;14,2;0,7;215;1,7;9,3;11;0,9;0,19;4,1;0;11,2;0;76;0;0
1/01/2017 2:00;67;32,8;0,8;188;11;12,8;23,8;1,6;0,51;0,5;0;10,4;0;82;0;0
1/01/2017 3:00;0;35;1,4;230;10,6;11,5;22,1;1,3;0,49;3,2;0;11,5;0;76;0;0
1/01/2017 4:00;10;9,4;2,1;216;0,3;3,7;4;1;0,1;13,2;0;13;0;67;0;0
1/01/2017 5:00;8;3,3;1,5;199;0;1;0,8;0,8;0,07;16,6;0;12,9;0;66;0;0
1/01/2017 6:00;4;0;1,8;175;0;1,8;1,5;0,6;0,03;15;0;13;0;68;0;0
1/01/2017 7:00;4,3;4,3;2,2;174;0;2;1,9;1,2;0,06;15;0;13,9;0;65;0;46
1/01/2017 8:00;3;0;2,1;205;0,3;1,1;1,4;0,5;0,01;15,6;0;16,7;0;56;0;273
1/01/2017 9:00;5;0;2,7;233;0;0,3;0,1;0,7;0;16,8;0;16;0;60;0;262
1/01/2017 10:00;6;4,1;3,6;242;0;0,3;0,2;0,2;0;16,4;0;16,6;0;59;0;368
1/01/2017 11:00;8;4,3;3,7;238;0;0,3;0,2;0,4;0;17,1;0;16,7;0;57;0,1;400
1/01/2017 12:00;10;1,9;3,5;249;0;0,4;0,4;0,8;0;16,8;0;17,8;0;55;0;464
1/01/2017 13:00;10;1,3;2,9;273;0,1;0,5;0,6;1,5;0;16,7;0;17,9;0;55;0;429
1/01/2017 14:00;10;6,6;2,4;271;0,2;0,8;1;1,5;0,02;16,4;0;19,2;0;51;0;421
1/01/2017 15:00;7;6,5;2,9;269;0,3;1;1,2;0,7;0,03;16,3;0;18,4;0;52;0;342
1/01/2017 16:00;4;2,2;2,5;261;0,3;1,1;1,5;1,1;0,03;16,4;0;18,6;0;52;0;303
1/01/2017 17:00;11,8;11,8;2;280;0,5;1,8;2,3;1;0,03;16;0;17;0;55;0;112
1/01/2017 18:00;3,6;3,6;2;272;0,2;2,6;2,8;0,4;0,02;15,7;0;17,4;0;53;0;84
1/01/2017 19:00;2,9;2,9;1,6;247;0;2,6;2,3;1,4;0,03;15,9;0;15,3;0;60;0;0
1/01/2017 20:00;5,4;5,4;1;161;0,6;9,1;9,7;1,3;0,13;7,3;0;14;0;68;0;0
1/01/2017 21:00;0;7,1;0,7;209;3,4;12;15,4;1;0,25;3,3;0;12,8;0;72;0;0
1/01/2017 22:00;10;2,3;1,2;218;1,3;10,7;12;0,9;0,16;5,1;0;13,1;0;71;0;0
1/01/2017 23:00;13;4,2;0,3;177;2,7;13,1;15,9;1,2;0,28;1,1;0;12,3;0;75;0;0
42737;8;3,7;1,1;227;0;3;2,9;0,5;0,09;14,1;0;13,4;0;68;0;0
2/01/2017 1:00;0;10,4;1,3;266;0;2;1,6;1,1;0,11;16,2;0;13,4;0;66;0;0
2/01/2017 2:00;9;7,4;1,5;288;0;0,8;0,3;0,9;0,07;18,8;0;13,3;0;66;0;0
2/01/2017 3:00;8;0;0,7;262;0;0,5;0;0,8;0,1;19,1;0;13,2;0;66;0;0
2/01/2017 4:00;5;4,7;1;233;0;1,4;1;1;0,08;18,5;0;13,2;0;65;0;0
2/01/2017 5:00;5,7;5,7;0,6;193;0;3,8;3,5;1,1;0,1;13,6;0;11,8;0;71;0;0
2/01/2017 6:00;8;1,8;1,2;193;5;13,6;18,7;0,7;0,25;2,5;0;11,4;0;73;0;0
2/01/2017 7:00;11;9,2;1,5;242;12,9;13,5;26,4;1,5;0,44;5,4;0;11,9;0;68;0;30
2/01/2017 8:00;11;0;2;250;5,1;5,2;10,3;1,2;0,23;15,7;0;15,9;0;53;0;314
2/01/2017 9:00;11;8,9;3,3;251;2,4;2,7;5,2;1,1;0,1;18,3;0;17,4;0;49;0;597
2/01/2017 10:00;10;8,7;2,3;272;0,9;1,4;2,3;1,1;0,06;20,5;0;19,4;0;42;0;738
2/01/2017 11:00;11;2,1;2,2;271;0,6;1,1;1,7;1,5;0,08;20,6;0;20,4;0;40;0;883
2/01/2017 12:00;9,1;9,1;2,5;303;0,8;1,2;2;1,4;0,09;19,6;0;22;0;39;0;1024
2/01/2017 13:00;16;4,6;3,3;312;1;1,4;2,5;1,5;0,06;19,1;0;21,9;0;39;0;957
2/01/2017 14:00;8,2;8,2;3;302;1,1;1,5;2,7;1,3;0,08;19,6;0;21,2;0;40;0;822
2/01/2017 15:00;8;4,1;2,7;310;1,2;2,1;3,3;1,1;0,11;20,2;0;21,1;0;37;0;603
2/01/2017 16:00;9;6,2;2,6;305;2,1;3,1;5,2;1,3;0,14;20;0;20,7;0;39;0;526
2/01/2017 17:00;9;0;2,7;290;2,3;3,9;6,2;1,1;0,19;20,2;0;19,9;0;38;0;313
2/01/2017 18:00;9,8;9,8;2,2;282;2,2;6,7;8,9;1,2;0,22;17,7;0;17,5;0;43;0;66
2/01/2017 19:00;8;2,1;1,7;287;3,4;14;17,4;1,6;0,32;10,1;0;15,1;0;49;0;0
2/01/2017 20:00;10;7,5;1,4;314;5,3;16,6;21,9;1,7;0,35;5,9;0;13,6;0;53;0;0
2/01/2017 21:00;12;11,2;0,5;329;7,2;17,9;25;0,6;0,33;3,6;0;12,7;0;52;0;0
2/01/2017 22:00;11;5;0,6;311;9,4;18,3;27,7;1,3;0,43;1;0;10,3;0;61;0;0
2/01/2017 23:00;27;7,5;0,2;87;35;18,8;53,8;2,2;0,78;0,4;0;9,4;0;67;0;0
42738;47;12,6;0,5;102;77,6;18,9;96,5;2,9;1,29;0,3;0;8,4;0;66;0;0
3/01/2017 1:00;41;17,1;0,2;38;71,9;18;89,9;2,3;1,12;0,2;0;7;0;77;0;0
3/01/2017 2:00;41;18,6;0,1;157;64,1;16,4;80,5;2,7;0,98;0,2;0;6,6;0;84;0;0
3/01/2017 3:00;44;19,8;0,3;147;62,7;15,4;78,2;2,7;0,89;0,3;0;6,5;0;86;0;0
3/01/2017 4:00;22;11,7;0,7;180;19,2;15,3;34,6;1,6;0,46;0,4;0;8,1;0;80;0;0
3/01/2017 5:00;21;15;0,2;87;21,2;14,1;35,4;1,8;0,43;0,2;0;6,7;0;80;0;0
3/01/2017 6:00;30;10,2;0,6;181;38,1;13,6;51,6;1,8;0,58;0,3;0;6,1;0;84;0;1
3/01/2017 7:00;31;13,4;0,4;130;47;14;61;2,1;0,73;0,8;0;7,6;0;83;0;74
3/01/2017 8:00;42;2,6;1,4;201;60,8;21,6;82,3;3;1,09;3,2;0;15,2;0;52;0;323
3/01/2017 9:00;43;15,2;0,6;162;50;26,1;76,1;2,5;0,94;7,8;0;19,9;0;37;0;550
3/01/2017 10:00;31;19,1;2,2;170;13;12,3;25,3;1,3;0,25;17,7;0;20,5;0;37;0;770
3/01/2017 11:00;24;13,2;1,5;168;6,4;8,2;14,6;1,4;0,1;24,1;0;22,4;0;35;0;942
3/01/2017 12:00;21;13,3;1,3;174;4,1;7,7;11,7;1,3;0,1;29,4;0;22,8;0;34;0;981
3/01/2017 13:00;11,6;11,6;1,4;67;1,8;3,8;5,6;1,4;0;24,6;0;24,3;0;31;0;784
3/01/2017 14:00;11,2;11,2;2,2;279;1,3;2,5;3,8;1,4;0;22,4;0;22,3;0;34;0;676
3/01/2017 15:00;44;9,8;2;108;1,8;8,7;10,6;1,6;0,14;29,3;0;20,6;0;52;0;233
3/01/2017 16:00;55;23,5;3,8;112;2;10,2;12,2;1,6;0,21;28,7;0;19;0;63;0;169
3/01/2017 17:00;34;14,7;2,1;114;1,2;7,4;8,5;1,3;0,11;27,3;0;18,7;0;66;0;252
3/01/2017 18:00;27;21,1;1,7;94;1,3;13,5;14,8;1,6;0,23;17,5;0;16,6;0;72;0;81
3/01/2017 19:00;34;20,3;1,7;102;3,6;21,7;25,3;1,7;0,47;6,7;0;14,6;0;78;0;0
3/01/2017 20:00;34;14;0,4;188;1,9;21,6;23,5;1,4;0,43;1,9;0;13,6;0;82;0;0
3/01/2017 21:00;30;21,1;0,8;225;18,2;20,1;38,3;1,7;0,54;0,4;0;12,8;0;77;0;0
3/01/2017 22:00;40;7;0,7;138;13,7;23,7;37,4;2,3;0,57;0;0;13,7;0;76;0;0
3/01/2017 23:00;30;19,1;0,5;30;10;19,7;29,8;2,6;0,43;0,3;0;13,7;0;73;0;0
42739;22;12,1;0,7;161;3,3;16,4;19,7;5,2;0,3;1,3;0;13,5;0;70;0;0
4/01/2017 1:00;16;8,8;0,9;265;0,5;8;8,5;1,9;0,19;9,2;0;13;0;70;0;0
4/01/2017 2:00;12;2,8;0,9;161;0,3;9;9,2;1,6;0,18;6,3;0;11,2;0;74;0;0
4/01/2017 3:00;22;6,7;0,8;186;0,7;11;11,7;1,6;0,25;5,2;0;11,3;0;78;0;0
4/01/2017 4:00;17;11,6;0,4;175;0,8;11,7;12,5;1,6;0,26;2,3;0;10,3;0;81;0;0
4/01/2017 5:00;11;8,1;0,2;88;4,7;12,3;17;1,2;0,29;0,6;0;8,8;0;85;0;0
4/01/2017 6:00;17;6;0,1;157;18;11,9;29,8;1,6;0,41;0,2;0;8,1;0;77;0;0
4/01/2017 7:00;33;15,6;0,4;84;57,4;12,7;70,1;2,2;0,95;0,5;0;8,6;0;75;0;40
4/01/2017 8:00;52;7,4;0,3;108;74,4;19,9;94,4;3;1,36;1,7;0;15,7;0;66;0;262
4/01/2017 9:00;63;14,2;0,6;94;45,5;26,6;72,2;3,6;1,12;7,3;0;19,7;0;49;0;514
4/01/2017 10:00;61;33,6;0,8;83;16,5;19,2;35,8;3,2;0,53;16,7;0;20,6;0;46;0;610
4/01/2017 11:00;55;29,8;0,8;18;13,4;23,1;36,5;2,6;0,61;26,6;0;22;0;42;0;760
4/01/2017 12:00;60;36,5;0,8;24;8,5;25,7;34,2;2,8;0,65;40,8;0;23,4;0;40;0;710
4/01/2017 13:00;60;42,8;2,2;103;2,8;19,6;22,5;2,6;0,45;39,3;0;20,8;0;50;0;223
4/01/2017 14:00;48;31,8;3;99;2,4;11,9;14,3;1,5;0,31;25,5;0;17,9;0;64;0;150
4/01/2017 15:00;41;11,8;2,1;153;1,1;8,7;9,8;1,2;0,26;24,8;0;17,3;0;66;0;99
4/01/2017 16:00;30;8,7;1,9;128;4,4;11,2;15,6;1,8;0,38;19,1;0;19,3;0;57;0;270
4/01/2017 17:00;30;25;2,2;114;7;15,8;22,8;1,9;0,48;10;0;18,3;0;58;0;103
4/01/2017 18:00;39;20,3;1,6;114;9,1;19,7;28,7;1,8;0,62;5,3;0;16,4;0;65;0;29
4/01/2017 19:00;34;15,9;0,3;101;15,8;21,8;37,6;2;0,85;0,3;0;14,7;0;69;0;0
4/01/2017 20:00;51;21;0,8;86;61,1;21,2;82,3;3;1,58;0,2;0;13,2;0;75;0;0
4/01/2017 21:00;42;23,8;0,4;70;70,2;18,7;88,8;3,4;1,59;0,3;0;11,6;0;78;0;0
4/01/2017 22:00;63;21,1;0,2;105;102,8;20,2;122,9;3,9;1,94;0,2;0;10,4;0;84;0;0
4/01/2017 23:00;74;37,5;0,3;89;108,9;20,6;129,5;3,9;1,96;0,2;0;10,1;0;86;0;0
42740;71;34,1;0,2;89;124,5;18,1;142,6;3,9;2,1;0,3;0;9,6;0;87;0;0
5/01/2017 1:00;61;27,7;0,2;58;110,2;15,3;125,5;3,4;1,87;0,3;0;9,2;0;87;0;0
5/01/2017 2:00;43;32,3;0,4;143;92,8;13,6;106,4;3,4;1,56;0,3;0;8,4;0;82;0;0
5/01/2017 3:00;42;24,1;0,5;156;43,6;13,6;57,3;2,6;0,86;0,1;0;8,9;0;75;0;0
5/01/2017 4:00;23;21,3;0,2;76;28,1;11,9;40;2,2;0,61;0,2;0;9,5;0;78;0;0
5/01/2017 5:00;28;12,3;0,2;156;28,5;11,1;39,6;2;0,57;0,1;0;9,4;0;81;0;0
5/01/2017 6:00;35;17,9;0,9;157;52;11,1;63,2;2,4;0,78;0,7;0;8,9;0;79;0;0
5/01/2017 7:00;51;21;1;148;53,8;14,8;68,6;2,4;1,02;0,2;0;10,2;0;78;0;19
5/01/2017 8:00;41;29,7;0,6;188;55;16,6;71,6;2,4;1,16;0,6;0;11,9;0;79;0;99
5/01/2017 9:00;44;27,2;1,1;155;37,9;18,6;56,5;2,6;0,93;2,8;0;16,5;0;65;0;359
5/01/2017 10:00;65;26,2;1,5;164;26,8;22,6;49,3;2,3;0,8;8,6;0;18,7;0;56;0;456
5/01/2017 11:00;64;32,6;1;78;16,3;21,9;38,2;1,6;0,64;16;0;20,4;0;50;0;523
5/01/2017 12:00;35;22,3;1,1;44;10,4;19,3;29,7;1,9;0,54;21,7;0;21,3;0;48;0;468
5/01/2017 13:00;69;42,3;3,3;74;9,7;20,4;30,1;2,8;0,51;19,8;0;18,9;0;60;0;334
5/01/2017 14:00;52;36,7;0,9;145;6,7;15,3;22;2,6;0,42;17,2;0;18,3;0;61;0;237
5/01/2017 15:00;21;19,3;2,4;181;4,9;8,8;13,8;1,3;0,26;14,5;0;17,8;0;60;0;248
5/01/2017 16:00;38;0;3;125;5,6;12,6;18,1;2,2;0,3;18,9;0;18,8;0;58;0;294
5/01/2017 17:00;41;39;2,5;112;2,8;17,1;19,9;1,5;0,34;18,7;0;16;0;72;0;64
5/01/2017 18:00;42;24,2;2,3;109;5,8;24,7;30,5;1,4;0,55;8,3;0;14,5;0;76;0;11
5/01/2017 19:00;43;25,1;1,6;114;6,1;29,7;35,9;1,8;0,75;5,5;0;13,9;0;79;0;0
5/01/2017 20:00;31;21,9;0,9;119;3,4;23,6;27;1,8;0,53;7,2;0;13,7;0;79;0;0
5/01/2017 21:00;40;26,2;0,4;150;2,1;24,7;26,9;1,6;0,5;2,7;0;12,9;0;82;0;0
5/01/2017 22:00;56;28,8;0,2;69;21,9;27,4;49,3;2,3;0,86;0,2;0;12,8;0;82;0;0
5/01/2017 23:00;36;23,3;0,5;143;41;21,3;62,1;2,2;0,98;0,1;0;11,8;0;83;0;0
42741;21;7,5;0,7;192;8,9;15,3;24,2;1,5;0,38;1,2;0;12,1;0;77;0;0
6/01/2017 1:00;18;7,7;0,4;32;20,5;15,5;35,9;1,5;0,53;0,5;0;11,3;0;81;0;0
