Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
01-01-2017 24:00;10,2;7,3;2;227;1,4;4,3;5,6;0,9;0,11;12,3;0;15;0;63;0,1;146
02-01-2017 24:00;11,9;6,7;1,7;278;7,3;7,1;14,3;1,3;0,25;13,6;0;15,6;0;53;0;286
03-01-2017 24:00;31,8;14,8;1,1;142;21,6;14,7;36,3;2;0,46;10,2;0;14,7;0;64;0;243
04-01-2017 24:00;41,8;19,8;0,9;107;31,3;16,6;47,9;2,4;0,81;10,1;0;14,7;0;68;0;157
05-01-2017 24:00;42,6;25,6;1,1;129;28,1;18;46,1;2,2;0,74;6,9;0;14;0;72;0;130
06-01-2017 24:00;15,5;8,5;1,1;263;11,7;10,5;22,1;1,5;0,37;7,8;0;14,1;0;66;0;129
07-01-2017 24:00;11,9;7;1,4;272;3,2;7,4;10,6;1,3;0,08;12;0;15,4;0;63;10;159
08-01-2017 24:00;16,8;9,7;1,2;194;1,5;8,6;10;1,2;0,28;11,7;0;15,2;0;69;5;151
09-01-2017 24:00;26,1;18,1;0,9;124;11,5;14,8;26,2;1,8;0,4;0;0;13,8;0;77;5;113
10-01-2017 24:00;38,3;22,4;1,3;94;12,7;20,4;33,2;2,4;0,87;0;0;14,8;0;73;20;152
11-01-2017 24:00;32,9;22,4;1,1;75;19,8;20,3;40,1;2,1;0,73;0;0;14,7;0;75;0;136
12-01-2017 24:00;43;22,5;1,1;94;26,7;18,6;45,3;1,9;0,67;0;0;14,6;0;69;15;200
13-01-2017 24:00;55,7;31,6;1,3;119;21,9;20,9;42,8;1,3;0,62;10,3;0;14,9;0;69;5;189
14-01-2017 24:00;39,3;27,8;1,2;123;7,2;17,4;24,6;0,6;0,73;10;0;14,8;0;75;5;123
15-01-2017 24:00;23,3;15,7;1,7;130;3,4;11,3;14,8;0,4;0,24;0;0;16;0;70;0;269
16-01-2017 24:00;34,6;19,5;1,7;137;9,7;14,2;23,9;0,9;0,42;0;0;15,8;0;70;0;187
17-01-2017 24:00;36,9;20,7;1,6;144;11,8;17,4;29,3;0,7;0,46;0;0;15,2;0;67;5;204
18-01-2017 24:00;42,7;30,2;0,8;154;19;22,4;41,4;1;0,3;6,4;0;13,7;0;80;0;67
19-01-2017 24:00;58,2;30,5;0,9;151;23,9;22,7;46,7;1;0,66;8,9;0;15,1;0;72;0;148
20-01-2017 24:00;52,6;27,5;1,6;160;18,8;18,6;37,4;1,5;0,43;10,8;0;15,4;0;70;0;222
21-01-2017 24:00;38,5;16,6;1,6;168;19,4;14;33,4;0,5;0,27;11,4;0;13,3;0;65;0;227
22-01-2017 24:00;0;16,1;1,1;171;34,6;15,9;50,5;0,9;0,61;13,7;0;12,4;0;60;0;304
23-01-2017 24:00;51,9;27,5;1,3;162;31,7;20,5;51,6;1;0,72;11,8;0;13,2;0;67;5;278
24-01-2017 24:00;53,1;29,9;1,4;170;20;19,7;39,7;0,8;0,63;15,2;0;14,1;0;70;5;237
25-01-2017 24:00;23,9;14,5;1,3;345;7,4;12,7;20,1;0,4;0,44;10,7;0;14,4;0;63;5;157
26-01-2017 24:00;17,1;10,1;1,4;320;6,7;9,9;16,6;0,1;0,48;8,9;0;14,9;0;66;1,1;141
27-01-2017 24:00;23,7;13,3;1,5;359;12;10;22;0,2;0,48;8;0;14,5;0;65;0;191
28-01-2017 24:00;34,4;18,6;1,1;141;31,6;11,9;43,5;1,1;0,79;5,1;0;14,6;0;66;0;214
29-01-2017 24:00;21,6;10,9;1;209;16,7;9;25,8;0,5;0,6;7;0;14,4;0;65;10;137
30-01-2017 24:00;57,4;31,6;0,9;192;42,5;21,6;64,1;1,5;0,99;4,1;0;14,3;0;72;0;110
31-01-2017 24:00;31,3;18,2;1,2;282;25,1;12,6;37,7;0,6;0,66;5,9;0;15,2;0;67;0;168
01-02-2017 24:00;43,9;22,6;1,1;199;35,7;15,5;51,2;1,3;1,2;5,7;0;14,5;0;68;0;196
02-02-2017 24:00;41,8;22,9;1;153;38,4;17,6;56,1;1,8;0,88;10;0;14;0;68;5,1;235
03-02-2017 24:00;33,5;18,9;1;85;31,4;14,2;45,6;1,6;0,98;7,5;0;14,3;0;66;5,1;254
04-02-2017 24:00;31;16,3;1,4;268;29,4;11,7;41,1;1,5;0,82;14,3;0;14,4;0;60;0;189
05-02-2017 24:00;20,7;11,9;2,2;6;0,9;6,8;7,7;0,8;0,34;27,7;0;15,9;0;47;0;290
06-02-2017 24:00;29,3;15,6;1,6;82;21,7;14;35,7;1,4;0,78;18,5;0;14,4;0;44;5;326
