Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
1/01/2017 1:00;6;3;0,1;108;23,4;6,8;30,2;0;0;2,4;0;9,1;564;82;0;0
1/01/2017 2:00;7;0;0,4;66;25,8;6,7;32,5;0;0;2,8;0;8,8;564;83;0;0
1/01/2017 3:00;16;2;0,3;18;39,7;8;47,7;0;0;2,6;0;8,4;564;84;0;0
1/01/2017 4:00;17;10;0,1;143;25;8;33;0;0;3;0;8,7;563;84;0;0
1/01/2017 5:00;13;13;0,2;47;21,8;8,8;30,6;0;0;2,6;0;8,3;563;84;0;0
1/01/2017 6:00;19;19;0,2;101;29,7;8,1;37,8;0;0;2,5;0;8,2;564;85;0;0
1/01/2017 7:00;14;6;0,2;17;38,8;7,5;46,3;0;0;2,8;0;8,8;564;85;0,1;45
1/01/2017 8:00;17;10;0,1;349;23,3;7;30,3;0;0;6;0;12,4;565;83;0;168
1/01/2017 9:00;8;7;0,8;243;7,5;2,4;9,9;0;0;13,8;0;15,1;565;65;0;330
1/01/2017 10:00;9;5;0,3;100;6,2;0,2;6,4;0;0;17,1;0;17,2;565;53;0;528
1/01/2017 11:00;5;0;1,6;107;6,8;0,6;7,4;0;0;16,8;0;17,3;565;50;0;583
1/01/2017 12:00;3;0;1,7;102;6,6;0,3;6,8;0;0;17,6;0;16,9;565;48;0;272
1/01/2017 13:00;5;0;1,7;91;7,6;1,3;9;0;0;16,4;0;17,7;564;50;0;388
1/01/2017 14:00;0;0;1,8;72;7,4;0,7;8,1;0;0;16,7;0;18,4;564;46;0;648
1/01/2017 15:00;0;0;1,4;102;8,1;1,7;9,8;0;0;15,7;0;18;563;48;0;347
1/01/2017 16:00;7;0;1,5;117;8,2;1,8;10;0;0;15,9;0;18,1;563;47;0;299
1/01/2017 17:00;10;0;1,3;81;8,5;1,8;10,3;0;0;16;0;18,9;563;46;0;311
1/01/2017 18:00;11;0;2,6;69;10,7;4,6;15,3;0;0;14,2;0;15,7;563;55;0;66
1/01/2017 19:00;11;0;1,5;79;11,3;7,6;18,9;0;0;12;0;14,2;564;64;0;2
1/01/2017 20:00;5;0;0,1;298;6,8;6,3;13,1;0;0;11,5;0;13;564;68;0;1
1/01/2017 21:00;5;1;0,7;65;16,6;13,8;30,5;0;0;6,4;0;12,7;565;72;0;1
1/01/2017 22:00;10;5;0,5;62;33,7;16,9;50,5;0;0;2,9;0;12,2;565;74;0;1
1/01/2017 23:00;12;11;0,1;349;25,5;13,4;38,9;0;0;2,6;0;10,9;565;76;0;0
42737;9;4;0,3;338;10,1;13,7;23,9;0;0;3,1;0;11,3;565;79;0;0
2/01/2017 1:00;17;1;0,2;92;32,8;12,4;45,2;0;0;2,5;0;10,4;565;78;0;0
2/01/2017 2:00;7;2;0,3;94;21,7;9,5;31,2;0;0;3,9;0;9,9;564;81;0;0
2/01/2017 3:00;3;3;0,2;61;12,7;7,9;20,6;0;0;6,2;0;10,2;564;81;0;0
