Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
2/01/2017 0:00;17,2;5,2;2,4;80;0;0;0;0;0,45;6,7;0;14,7;0;0;0,1;0
3/01/2017 0:00;25;6,9;2,3;97;18,9;0,6;28,9;0,6;0,65;8,2;0;15,4;0;0;0;0
4/01/2017 0:00;47,7;16,7;2;270;35,6;0,9;51,5;0,9;0,89;8,1;0;14,8;0;0;0;0
5/01/2017 0:00;60,3;18;1,6;295;30;1,2;47,5;1,2;0,88;5,7;0;14,6;0;0;0;0
6/01/2017 0:00;60,4;23,9;1,6;292;29,1;1,7;47,5;1,7;0,79;5,5;0;13,9;0;0;0;0
7/01/2017 0:00;40;14,6;1,4;160;28;1,2;41,8;1,2;0,75;3,3;0;14,2;0;0;0;0
8/01/2017 0:00;25,5;8,6;1,8;153;15,9;0,8;27,3;0,8;0,55;4,8;0;14,5;0;0;0;0
9/01/2017 0:00;27,7;10,7;1,6;275;9,2;0,3;18,9;0,3;0,48;5,8;0;14,3;0;0;0;0
10/01/2017 0:00;33,7;15,8;1,2;277;13;0,9;25,2;0,9;0,61;4,5;0;13,4;0;0;4,9;0
11/01/2017 0:00;49,3;21,1;1,9;263;20,5;1,5;40,2;1,5;0,82;6,3;0;13,4;0;0;0;0
12/01/2017 0:00;45,2;19,7;1,8;293;20,8;0,8;39,1;0,8;0,85;9,5;0;14;0;0;0,6;0
13/01/2017 0:00;47,1;17,2;2,1;229;17,5;2,1;34,7;2,1;0,76;7,7;0;14,1;0;0;0;0
14/01/2017 0:00;55,6;22,5;2,3;243;16,2;1,7;33,5;1,7;0,72;9,3;0;14,6;0;0;0,1;0
15/01/2017 0:00;50,7;25,7;1,7;302;12,3;1;29,8;1;0,82;6,4;0;14;0;0;0,8;0
16/01/2017 0:00;34,4;14,7;2,4;290;7,1;0,4;17,2;0,4;0,65;11,2;0;14,5;0;0;0;0
17/01/2017 0:00;37,6;0;2,5;286;11,2;0,7;24,4;0,7;0,69;9,1;0;14,6;0;0;0;0
18/01/2017 0:00;42,5;0;2,3;276;13,4;0,8;29;0,8;0,66;9,6;0;14,4;0;0;0,1;0
19/01/2017 0:00;50,1;0;1,6;293;20,1;1,4;41,2;1,4;0,89;5,2;0;13,4;0;0;23,9;0
20/01/2017 0:00;53,4;0;2,1;277;19,1;1,9;34,9;1,9;0,82;8,4;0;14,5;0;0;0,1;0
21/01/2017 0:00;60,3;0;2,3;297;17,9;2,1;32,5;2,1;0,78;9,2;0;14,8;0;0;0;0
22/01/2017 0:00;44,2;0;2,2;320;18,7;0,7;31,1;0,7;0,7;9,4;0;13,8;0;0;0;0
23/01/2017 0:00;43;0;1,7;266;21,6;1,8;35;1,8;0,79;11,9;0;13,2;0;0;0;0
24/01/2017 0:00;65,1;0;1,9;283;33;2,5;52;2,5;0,91;10,9;0;13,4;0;0;0;0
25/01/2017 0:00;71,7;28,2;2,2;286;22,3;1,8;40,7;1,8;0,62;12,6;0;13,6;0;0;0;0
26/01/2017 0:00;47,5;18,5;1,8;109;21,7;0,9;39;0,9;0,68;5,3;0;14,4;0;0;0;0
27/01/2017 0:00;30,3;12,4;1,7;100;16,1;0,8;29,5;0,8;0,57;4,1;0;14,1;0;0;0,5;0
28/01/2017 0:00;38,4;13,9;1,9;92;15,7;0,7;29;0,7;0,58;4,1;0;14,1;0;0;0;0
29/01/2017 0:00;48,1;20,9;2,9;203;29,2;1,7;42,2;1,7;0,76;3,6;0;13,9;0;0;0;0
30/01/2017 0:00;28,5;9,4;2,5;187;15,4;1,3;25,2;1,3;0,5;4,6;0;14,7;0;0;0;0
31/01/2017 0:00;69,3;25,4;1,4;278;35,4;1,7;55,5;1,7;1,14;3,1;0;14;0;0;0,1;0
1/02/2017 0:00;50,2;19,6;1,3;40;30,7;1,1;46,8;1,1;1;2,9;0;15,3;0;0;0;0
2/02/2017 0:00;64,3;24,5;1,9;249;43,7;1,1;62,4;1,1;1,26;4,1;0;14,3;0;0;6,2;0
3/02/2017 0:00;57;23,3;1,9;227;30,5;1,2;50,2;1,2;0,79;8,6;0;14,1;0;0;0;0
4/02/2017 0:00;51,9;18,9;2,4;203;30,7;1;46,3;1;0,96;6,6;0;14,6;0;0;0;0
5/02/2017 0:00;55,9;21,3;1,9;69;32,7;1,4;49,2;1,4;1,05;9;0;15,2;0;0;0;0
6/02/2017 0:00;30,7;12,3;2,3;89;7,6;0,6;22,1;0,6;0,69;15;0;15,3;0;0;0;0
7/02/2017 0:00;60,4;23,2;2,3;76;34,3;1,2;56,2;1,2;1,09;12,6;0;15,1;0;0;0;0
8/02/2017 0:00;43,4;16,8;2,2;98;24,4;1,1;44,5;1,1;0,96;15,9;0;16,6;0;0;0;0
9/02/2017 0:00;72,1;26,2;2,1;338;31,9;1,2;56,4;1,2;1,14;10,1;0;16,4;0;0;0;0
10/02/2017 0:00;90;31,7;2,2;280;28,2;2,3;52,2;2,3;0,92;17,3;0;15;0;0;0;0
11/02/2017 0:00;63;23,1;2,6;287;6,6;1,1;19,9;1,1;0,62;17,8;0;15,4;0;0;0;0
12/02/2017 0:00;62,2;24,8;2,6;283;9;1,2;21;1,2;0,62;17,8;0;15,3;0;0;0;0
13/02/2017 0:00;34;13,6;2,3;286;5,1;0,4;13,9;0,4;0,39;15,6;0;14,7;0;0;0,6;0
14/02/2017 0:00;35,2;13,3;2,4;296;5,7;0,3;15;0,3;0,42;16,3;0;14,8;0;0;0,3;0
15/02/2017 0:00;45,9;15,8;2,1;286;10,6;0,5;21,3;0,5;0,54;14,7;0;14,7;0;0;0;0
16/02/2017 0:00;72,9;27,8;2,2;284;28,5;2,6;43,9;2,6;0,85;14,4;0;14,7;0;0;0;0
17/02/2017 0:00;66,1;25,5;2;301;25,1;1,9;40,4;1,9;0,84;11,4;0;14,4;0;0;0,6;0
18/02/2017 0:00;42,9;18;1,7;305;13,2;0,8;27,5;0,8;0,68;6,6;0;13,3;0;0;0,5;0
19/02/2017 0:00;65;24,8;2,3;269;20,9;1,6;37,1;1,6;0,83;5,5;0;14,3;0;0;0;0
20/02/2017 0:00;63,4;32;2,2;283;13,7;1,2;28,3;1,2;0,71;6,3;0;14,5;0;0;0,6;0
21/02/2017 0:00;64,8;30;2;284;11,6;0,4;28,4;0,4;0,81;10;0;14,9;0;0;1,9;0
22/02/2017 0:00;66,9;32,8;2;294;18,9;0,9;36,2;0,9;0,77;8,7;0;15,5;0;0;25,1;0
23/02/2017 0:00;62,6;0;2,3;321;20,5;1,4;35,1;1,4;0,59;8,1;0;15,1;0;0;0;0
24/02/2017 0:00;66,8;25;2,2;287;23,1;1,6;39,2;1,6;0,64;8;0;14,3;0;0;0;0
25/02/2017 0:00;68,7;29,7;1,4;326;29,7;0,9;53,8;0,9;1,02;2,6;0;13,5;0;0;2,7;0
26/02/2017 0:00;53,5;29;1,3;323;21,1;0,8;45,4;0,8;0,89;3;0;13,3;0;0;12,7;0
27/02/2017 0:00;37,2;18,7;1,2;299;13,3;0,9;30,6;0,9;0,61;4,4;0;13;0;0;20,8;0
28/02/2017 0:00;59,2;26,3;1,3;295;27,9;0,7;47,9;0,7;0,94;2,4;0;13,6;0;0;3,3;0
