Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
1/01/2017 1:00;18;7,4;1,6;70;2,9;0;4,8;0;0,32;6,6;0;13;0;0;0;0
1/01/2017 2:00;25;6;1,2;51;4,7;0;11,5;0;0,48;3,6;0;12,5;0;0;0;0
1/01/2017 3:00;22;10;1,5;83;5,7;0;12,8;0;0,49;4,2;0;12,6;0;0;0,1;0
1/01/2017 4:00;14;11,5;0,9;61;3,8;0;10;0;0,45;4,5;0;12,7;0;0;0;0
1/01/2017 5:00;17;8,2;0,4;8;5;0;12,4;0;0,49;2,8;0;12;0;0;0;0
1/01/2017 6:00;21;7,2;0,7;343;9,3;0;18,9;0;0,55;2,1;0;11,8;0;0;0;0
1/01/2017 7:00;14;7,3;2,9;62;6,5;0;9;0;0,39;7,4;0;13,2;0;0;0;0
1/01/2017 8:00;14;5,4;2,9;62;3,5;0;4;0;0,31;8;0;14,2;0;0;0;0
1/01/2017 9:00;8;2,7;3,6;72;0;0;0;0;0,27;8,7;0;15,2;0;0;0;0
1/01/2017 10:00;5;1,5;4,4;82;0;0;0;0;0,26;9,6;0;15,9;0;0;0;0
1/01/2017 11:00;9;0,8;4,1;81;0;0;0;0;0,28;9,7;0;16,4;0;0;0;0
1/01/2017 12:00;13;0,1;4,8;76;0;0;0;0;0,29;10,5;0;16,8;0;0;0;0
1/01/2017 13:00;19;0,4;4;75;0;0;0;0;0,3;10,1;0;17,3;0;0;0;0
1/01/2017 14:00;13;0;3,4;78;0;0;0;0;0,32;9,7;0;17,8;0;0;0;0
1/01/2017 15:00;25;0;3,1;74;0;0;0;0;0,34;9,9;0;17,3;0;0;0;0
1/01/2017 16:00;13;0,6;2,6;82;4,5;0;5,3;0;0,38;9,1;0;16,8;0;0;0;0
1/01/2017 17:00;18;3,6;2,7;154;6,3;0;8,7;0;0,44;9,4;0;16,1;0;0;0;0
1/01/2017 18:00;28;6,1;2,6;199;7,1;0;12,6;0;0,57;7,8;0;16;0;0;0;0
1/01/2017 19:00;22;8,1;2,3;190;9,2;0;17,2;0;0,62;5,2;0;14,8;0;0;0;0
