Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
01-01-2024 24:00;24,5;0;1,6;302;2,5;7;9,5;0,8;0,28;16,3;1,6;16,3;0;71;;
02-01-2024 24:00;31,1;12,9;1,7;305;9;11;20;1,1;0,39;19,8;2,7;15,5;0;71;;
03-01-2024 24:00;34,7;15,2;2;307;12;12,1;24,1;1,5;0,48;19,1;3,7;15,6;0;69;;
04-01-2024 24:00;35,3;15,8;2,1;309;20,5;12,7;33,2;1,4;0,56;19,3;4,5;15;0;71;;
05-01-2024 24:00;36;18,8;2,3;313;8,1;12,6;20,8;1,5;0,39;22,3;3,4;16,1;0;68;;
06-01-2024 24:00;22,8;12;1,5;322;7,2;10,7;17,9;0,5;0,34;15,8;2;15,7;0;57;;
07-01-2024 24:00;0;11,3;1,5;53;8,9;8,5;17,4;0,8;0,39;12,2;1,6;14,6;0;62;;
08-01-2024 24:00;24;12;1,8;297;9,9;9,4;19,3;1,2;0,36;13,3;1,9;14,6;0;67;;
09-01-2024 24:00;34,5;15;1,7;312;16,6;14,1;30,7;1,1;0,56;10,9;4,1;14,7;0;69;;
10-01-2024 24:00;48,4;0;1,6;311;16,8;15,1;31,9;1,3;0,65;15,8;5,7;14,6;0;74;;
11-01-2024 24:00;31,4;0;1,9;311;13,3;14,4;27,7;1,4;0,55;16,4;4,3;15,1;0;70;;
12-01-2024 24:00;39,9;0;2;326;6;15,1;21,2;1,5;0,52;20,2;3,7;16,6;0;71;;
13-01-2024 24:00;37,3;26,4;2,1;300;4,6;13;17,6;1,7;0,42;24,7;2,9;16,1;0;73;;
14-01-2024 24:00;28,5;19,4;1,7;311;5,2;10,3;15,4;0,8;0,4;19,6;2;16,2;0;68;;
15-01-2024 24:00;12,7;6,9;2,1;127;2,2;6,4;8,6;0,4;0,22;21;1,1;15,9;0;50;;
16-01-2024 24:00;17,1;5,8;2,5;104;6,3;8,1;14,4;0,5;0,33;18,2;1,3;15,3;0;50;;
17-01-2024 24:00;19,7;8,3;2;145;7,5;11;18,5;1;0,41;12,2;2;16;0;53;;
18-01-2024 24:00;13,2;5,6;2,2;131;4,7;7,6;12,3;0,7;0,28;15,7;1,4;16;660;56;;
19-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22-01-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23-01-2024 24:00;19,2;12,4;1,7;95;2,5;9;11,4;0,5;0,28;24,5;1,5;13;566;36;;
24-01-2024 24:00;26,1;14,2;1,3;111;10,5;12,7;23,1;0,6;0,47;18,8;2,7;13,2;565;50;;
25-01-2024 24:00;51,7;26,9;0;0;18;19,7;37,8;2,2;0,69;22,7;5,1;0;565;0;;
26-01-2024 24:00;59,5;37,2;0;0;11,8;17,5;29,3;1,4;0,68;25,7;4,4;0;565;0;;
27-01-2024 24:00;46,9;26,7;0;0;8,5;16,4;24,9;1,7;0,56;25,6;3,3;0;566;0;;
28-01-2024 24:00;46,6;31;0;0;3,5;12,8;16,3;2,5;0,45;25;2,5;0;565;0;;
29-01-2024 24:00;42;22,5;0;0;8,5;13,9;22,4;0,9;0,61;18,1;3,2;0;565;0;;
30-01-2024 24:00;44,8;27,1;1,2;275;15,9;16,5;32,4;1,2;0,65;15,8;4,7;13,8;565;64;;
31-01-2024 24:00;46,7;28,2;0,9;263;13,3;17,5;30,8;1,2;0,69;11,6;4,5;13,9;565;70;;
01-02-2024 24:00;35,5;21;0,7;272;17,1;13,7;30,8;1,3;0,55;14,3;4,4;14,1;565;74;;
02-02-2024 24:00;33,5;20,2;1,1;306;7,7;14,9;22,5;0,8;0,62;10,7;4;14,6;565;74;;
03-02-2024 24:00;22,6;13,5;1,4;331;2,4;13,8;16,2;1;0,44;20,1;2,1;14,9;565;72;;
04-02-2024 24:00;18,2;11,7;1,1;327;4,3;14,7;19;1,2;0,48;14,4;2,2;14,2;564;75;;
05-02-2024 24:00;26,7;17;0,7;321;17;18,2;35,2;1,2;0,78;8,2;5,1;13,1;564;80;;
06-02-2024 24:00;31,2;17,9;0,7;330;31,3;15,9;47,1;1,1;0,95;6,4;5,9;13,3;565;79;;
07-02-2024 24:00;24,4;16,1;1;343;27,1;14,3;41,4;0,9;0,86;9,3;4,8;14,2;566;75;;
08-02-2024 24:00;46,4;23,5;0,9;322;31,3;17,8;49,1;1,1;0,89;7,5;6,6;13,2;565;75;;
09-02-2024 24:00;30,6;14,1;1,2;137;10;8,9;18,9;0,8;0,41;11,5;2,7;15;565;66;;
10-02-2024 24:00;17,5;7,1;1,4;121;9,9;8,9;18,9;1;0,34;13;1,8;14,6;565;64;;
11-02-2024 24:00;14,5;5,2;0,9;299;7,5;9,2;16,7;0,8;0,35;13;1,3;13,9;565;63;;
12-02-2024 24:00;43;20,3;1,1;303;13,2;15,9;29;1,3;0,61;25;3,4;13,8;565;68;;
13-02-2024 24:00;41;23,1;1,1;336;11;15,3;26,2;1,2;0,57;21,8;4,1;14,9;565;65;;
14-02-2024 24:00;27;14,4;1,5;111;3,2;8,1;11,2;0,6;0,27;17,1;1,7;14;566;59;;
15-02-2024 24:00;18,9;11,5;1,5;132;0,6;5,8;6,3;1;0,29;18,4;1;14,6;566;61;;
16-02-2024 24:00;14,9;9,9;1,3;152;4,5;8;12,5;0,6;0,38;12,7;1,5;14,9;565;64;;
17-02-2024 24:00;10,7;5;1,5;75;8,5;8,1;16,6;0,9;0,47;11,1;1,6;14,8;565;63;;
18-02-2024 24:00;29,3;13,9;1,2;307;15,1;10,3;25,5;1;0,53;13,9;2,2;14,5;565;66;;
19-02-2024 24:00;46,4;24,7;1,3;308;17,1;15,5;32,7;1,5;0,61;18,2;4,5;14,7;566;66;;
