Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
2/01/2024 0:00;47,5;30,6;1,2;232;10,7;8,6;19,3;8,6;0,92;16,7;3,3;0;564;65;0;156
3/01/2024 0:00;42,9;22,5;1,4;206;11,9;12,4;24,3;12,4;0,89;16,6;3,8;0;564;63;0;167
4/01/2024 0:00;54,6;27,5;1,5;226;17,2;18,4;35,6;18,4;1,04;18,7;5,9;0;564;61;0;157
5/01/2024 0:00;56,9;27,2;1,4;203;16,4;20,6;37;20,6;1,03;20,5;6,6;0;564;61;0;188
6/01/2024 0:00;43,2;22;1,6;169;9,6;13,1;22,7;13,1;0,86;22,7;4,1;0;564;60;0;182
7/01/2024 0:00;26;14,2;1,4;119;8,7;10,1;18,8;10,1;0,75;15,7;2,5;0;563;43;0;214
8/01/2024 0:00;18;10,5;1,6;120;5,6;4,9;10,5;4,9;0,68;15,2;1,3;0;563;49;0;211
9/01/2024 0:00;26;13,5;1,3;138;6,8;6,2;13;6,2;0,77;0;1,8;0;563;56;0;214
10/01/2024 0:00;39,8;16,2;1,3;127;18,3;13;31,4;13;0,95;11;4,6;0;563;51;0;209
11/01/2024 0:00;44;18,3;1,2;145;18,1;11,9;30;11,9;0,68;13,6;5,4;0;564;57;0;127
12/01/2024 0:00;47,7;21,6;1,4;128;23,5;16,1;39,6;16,1;0,71;15;6,1;0;564;62;0,1;146
13/01/2024 0:00;46,3;24,1;1,2;199;17,9;15,3;33,3;15,3;0,76;14,4;5,9;0;563;62;0,8;135
14/01/2024 0:00;55,5;31,4;1,6;253;16,1;19,7;35,8;19,7;0,93;20,9;5,7;0;564;69;9,7;145
15/01/2024 0:00;39;22,3;1,4;138;7,5;9,6;17,1;9,6;0,57;17;2,7;0;564;55;0;214
16/01/2024 0:00;26;11,6;1,7;114;6,3;6,6;12,9;6,6;0,51;20,4;2,2;0;563;47;0;217
17/01/2024 0:00;25,5;10,2;1,7;120;6,8;7,2;14;7,2;0,47;17,7;2;0;563;46;0;216
18/01/2024 0:00;44,2;19,1;1,4;126;27,4;13,3;40,7;13,3;0,74;14,7;5,2;0;564;45;0;183
19/01/2024 0:00;24,8;11,2;1,7;112;7,7;7,1;14,8;7,1;0,54;16,6;2,1;0;564;52;0;202
20/01/2024 0:00;27,9;12,4;1,4;130;9,9;8,2;18,1;8,2;0,52;14,3;2,7;0;564;50;0;206
21/01/2024 0:00;25;11,5;1,3;117;6,8;7,1;13,9;7,1;0,55;14,4;2;0;564;59;0;83
22/01/2024 0:00;18,5;9,8;1,4;123;4,6;3,1;7,7;3,1;0,51;17,3;1,2;0;564;60;0;94
23/01/2024 0:00;22,3;11,4;2;110;8;6,6;14,6;6,6;0,55;18;1,9;0;564;49;0;214
24/01/2024 0:00;27;12,1;2;110;11,6;11,2;22,8;11,2;0,55;24,2;2,6;0;564;32;0;220
25/01/2024 0:00;0;18,5;1,4;119;23,5;18,2;41,7;18,2;0,76;20,8;4,7;0;564;37;0;222
26/01/2024 0:00;56,2;26,4;1,3;161;18,6;25;43,6;25;0,91;25,2;5,5;0;563;44;0;214
27/01/2024 0:00;56,8;26;1,4;150;9,1;13,7;22,8;13,7;0,78;22,1;3,6;0;564;51;0;221
28/01/2024 0:00;67;36,9;1,5;196;12,2;17,6;29,9;17,6;0,95;25,3;5,1;0;564;61;0;199
29/01/2024 0:00;50,4;28,3;1,8;186;6,9;10,1;16,9;10,1;0,82;24,3;2,7;0;564;61;0;195
30/01/2024 0:00;49,9;22,9;1,9;154;9,7;10;19,7;10;0,81;23,7;3,7;0;564;54;0;217
31/01/2024 0:00;50,1;23,3;1,4;146;13,3;11,4;24,8;11,4;0,86;20,7;4,5;0;564;53;0;191
1/02/2024 0:00;50;24,7;1,5;141;18,7;13;31,7;13;1,03;15,1;5,5;0;564;58;0;161
2/02/2024 0:00;54,1;26,9;1,3;154;18,5;11,7;30,3;11,7;0,84;17;5,7;0;564;63;1,8;155
